"","CASE","SERIAL","REF","QUESTNNR","MODE","STARTED","BF01_01","BF01_02","BF01_03","BF01_04","BF01_05","BF01_06","BF01_07","BF01_08","BF01_09","BF01_10","BF01_11","BF01_12","BF01_13","BF01_14","BF01_15","CP01_01","CP01_02","CP01_03","CP01_04","CP01_05","CP01_06","CP01_07","CP01_08","CP01_09","CP01_10","CP01_11","DD01_01","DD02","DD03","DD04","NA01_01","NA01_02","NA01_03","NA01_04","NA01_05","NA01_06","NA01_07","NA01_08","NA01_09","NA01_10","NA01_11","NA01_12","NA01_13","NA01_14","NA01_15","NA01_16","NA01_17","NA01_18","NP01_01","NP01_02","NP01_03","NP01_04","NP01_05","NP01_06","NP01_07","NP01_08","NP01_09","NP01_10","NP01_11","NP01_12","NP01_13","NP01_14","NP01_15","NP01_16","SE01_01","SE01_02","SE01_03","SE01_04","SE01_05","SE01_06","SE01_07","SE01_08","SE01_09","SE01_10","TIME001","TIME002","TIME003","TIME004","TIME005","TIME006","TIME007","TIME008","TIME_SUM","MAILSENT","LASTDATA","FINISHED","Q_VIEWER","LASTPAGE","MAXPAGE","MISSING","MISSREL","TIME_RSI"
"13",93,NA,NA,"NARQ","interview",2024-11-12 17:35:00,2,4,2,5,3,4,2,4,5,3,2,4,4,1,3,4,3,3,3,3,4,2,3,3,2,4,20,1,1,1,2,2,4,4,3,5,4,2,5,4,4,4,2,1,1,2,2,4,1,2,1,1,2,2,1,2,2,2,1,1,2,1,2,1,2,3,3,2,3,3,2,3,2,1,22,18,99,293,60,95,43,69,699,NA,2024-11-12 17:46:39,1,0,8,8,0,0,0.86
"14",94,NA,NA,"NARQ","interview",2024-11-12 17:35:15,4,2,3,2,3,2,4,2,2,2,2,1,4,1,2,3,2,1,2,1,1,2,3,1,1,4,18,1,2,1,2,1,2,2,5,2,3,2,1,2,4,1,1,1,1,1,1,3,1,1,1,2,1,2,2,2,1,2,2,1,2,1,2,1,2,3,2,3,3,3,3,4,3,2,14,23,96,86,47,190,47,11,514,NA,2024-11-12 17:43:49,1,0,8,8,0,0,1.11
"15",95,NA,NA,"NARQ","interview",2024-11-12 17:38:46,4,5,5,5,5,3,2,5,4,1,5,3,3,2,4,4,4,4,1,2,2,2,4,1,1,5,21,1,2,1,4,1,2,1,6,2,4,4,1,2,3,1,4,1,4,3,1,5,1,1,1,2,2,1,2,2,1,-9,2,1,2,1,2,2,2,3,4,4,2,3,4,3,3,3,13,25,81,91,68,140,93,34,545,NA,2024-11-12 17:47:51,1,0,8,8,1,1,0.87
"16",99,NA,NA,"NARQ","interview",2024-11-12 17:41:38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,2,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,13,NA,NA,NA,NA,NA,NA,17,NA,2024-11-12 17:41:55,0,0,2,2,0,0,2.31
"17",108,NA,NA,"NARQ","interview",2024-11-12 17:47:36,3,5,1,5,2,3,1,1,3,2,3,3,5,4,5,3,4,5,3,1,1,5,3,1,1,5,19,1,2,1,4,5,6,4,6,2,5,6,1,1,5,4,1,1,4,4,1,5,1,1,2,2,2,2,1,1,1,2,1,1,2,1,1,1,3,2,3,4,1,3,3,4,2,3,10,24,75,85,53,108,70,7,432,NA,2024-11-12 17:54:48,1,0,8,8,0,0,1.31
"18",109,NA,NA,"NARQ","interview",2024-11-12 17:47:49,3,4,2,5,4,2,2,5,4,2,2,3,4,2,3,4,4,3,3,2,2,4,3,2,1,4,21,1,2,1,3,2,2,4,4,2,2,2,2,3,5,3,2,1,2,1,2,2,1,2,1,2,2,1,1,2,1,2,1,1,2,1,2,1,2,3,3,2,2,3,2,3,3,2,7,33,111,143,149,174,58,23,698,NA,2024-11-12 17:59:27,1,0,8,8,0,0,0.86
"19",110,NA,NA,"NARQ","interview",2024-11-12 17:48:08,4,4,4,5,4,2,4,5,5,1,2,4,5,4,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,210,18,61,1103,NA,NA,NA,NA,200,NA,2024-11-12 18:11:20,0,0,4,4,0,0,0.7
"20",111,NA,NA,"NARQ","interview",2024-11-12 17:48:21,4,5,2,5,5,4,1,4,5,1,2,4,5,2,4,5,3,2,2,3,3,2,2,1,1,5,20,1,2,1,2,2,3,5,1,2,5,2,1,3,5,2,4,1,1,1,1,5,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,3,2,3,4,3,2,3,3,2,6,23,106,113,67,128,72,24,539,NA,2024-11-12 17:57:20,1,0,8,8,0,0,1.02
"21",113,NA,NA,"NARQ","interview",2024-11-12 17:50:58,3,3,4,4,5,3,2,2,3,3,2,2,3,4,4,3,1,2,1,1,1,4,2,1,1,5,20,1,2,1,2,2,1,1,4,3,3,2,3,1,1,1,3,1,1,1,1,4,1,1,1,2,2,2,1,2,1,2,2,2,2,1,2,1,2,3,2,3,3,3,2,4,3,2,8,18,70,91,51,90,59,24,411,NA,2024-11-12 17:57:49,1,0,8,8,0,0,1.18
"22",118,NA,NA,"NARQ","interview",2024-11-12 18:04:32,2,4,3,3,5,3,1,3,1,2,3,2,4,4,3,2,2,2,2,2,2,2,2,1,1,2,48,1,2,5,4,1,2,2,4,1,1,2,1,1,4,1,1,1,3,2,1,4,1,1,1,2,1,2,1,2,1,2,2,1,2,2,2,1,4,1,3,3,2,1,4,3,2,3,29,71,217,186,168,252,130,62,1115,NA,2024-11-12 18:23:07,1,0,8,8,0,0,0.41
"23",121,NA,NA,"NARQ","interview",2024-11-12 18:09:55,3,4,1,5,3,2,2,2,4,3,3,3,4,2,2,1,2,1,1,2,1,1,1,1,1,4,20,1,1,1,1,1,1,2,2,1,1,1,1,1,3,3,1,1,1,1,1,3,2,2,1,2,2,2,2,2,1,2,2,1,2,1,2,1,2,4,2,3,2,4,2,4,4,1,8,23,50,53,31,69,41,43,318,NA,2024-11-12 18:15:13,1,0,8,8,0,0,1.47
"24",122,NA,NA,"NARQ","interview",2024-11-12 18:12:17,3,5,2,2,4,3,2,3,1,3,4,5,5,5,5,4,3,4,3,2,4,3,2,1,1,5,21,1,2,1,6,5,6,4,6,3,4,6,1,1,1,2,2,1,3,3,1,4,1,2,2,1,1,1,2,2,1,2,1,2,1,2,2,2,4,2,4,4,2,1,4,2,2,4,18,17,92,112,92,148,62,29,570,NA,2024-11-12 18:21:47,1,0,8,8,0,0,0.87
"25",123,NA,NA,"NARQ","interview",2024-11-12 18:14:31,1,2,1,4,1,2,3,1,1,1,1,3,5,3,4,3,3,3,2,2,1,4,1,1,1,5,55,2,2,1,3,-9,1,2,6,1,2,5,1,1,2,1,1,1,1,2,1,6,1,1,1,1,2,2,1,1,1,2,2,1,2,1,2,1,3,1,3,4,1,1,4,3,1,3,41,14,120,90,57,102,58,16,498,NA,2024-11-12 18:22:49,1,0,8,8,1,1,1.02
"26",124,NA,NA,"NARQ","interview",2024-11-12 18:16:55,3,2,3,1,5,5,3,4,1,1,3,1,2,5,5,2,2,4,5,5,1,5,3,5,5,5,22,1,1,1,3,3,1,1,6,6,5,3,6,4,1,1,6,6,4,4,6,6,2,1,2,1,1,2,2,1,1,1,1,2,1,2,2,1,4,1,4,4,1,1,4,4,1,4,37,24,109,121,50,114,71,22,548,NA,2024-11-12 18:26:03,1,0,8,8,0,0,0.86
"27",127,NA,NA,"NARQ","interview",2024-11-12 18:39:13,4,4,3,5,5,2,2,5,4,2,3,3,4,2,4,5,4,4,4,4,3,2,4,2,2,4,20,1,2,1,3,3,4,3,5,4,5,4,4,4,5,4,2,1,3,4,2,4,1,2,1,1,1,1,1,2,1,2,1,1,2,2,2,1,3,2,2,3,3,3,3,4,3,2,6,24,75,92,53,81,63,13,407,NA,2024-11-12 18:46:00,1,0,8,8,0,0,1.29
"28",128,NA,NA,"NARQ","interview",2024-11-12 18:40:21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,11,NA,NA,NA,NA,NA,NA,36,NA,2024-11-12 18:40:57,0,0,2,2,100,100,1.19
"29",129,NA,NA,"NARQ","interview",2024-11-12 19:39:54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,1,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12,29,NA,NA,NA,NA,NA,NA,41,NA,2024-11-12 19:40:35,0,0,2,2,0,0,0.86
"30",134,NA,NA,"NARQ","interview",2024-11-12 22:06:49,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,NA,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,-9,5,3,5,3,3,3,2,9,33,NA,2024-11-12 22:07:22,1,0,8,8,100,100,2.83
"31",135,NA,NA,"NARQ","interview",2024-11-12 22:45:56,4,5,4,3,5,5,1,3,5,1,5,3,5,4,5,3,1,3,1,2,1,5,5,1,1,5,21,1,2,1,6,6,6,1,6,1,6,6,1,2,3,1,1,1,4,5,1,6,1,2,-9,2,1,2,2,1,1,2,1,1,1,2,2,2,4,2,4,4,1,1,4,2,1,4,8,23,126,89,92,153,40,36,567,NA,2024-11-12 22:55:23,1,0,8,8,1,1,0.97
"32",138,NA,NA,"NARQ","interview",2024-11-12 23:13:47,1,4,4,5,5,5,4,5,5,2,3,1,5,2,3,4,4,5,3,5,4,4,5,2,3,4,21,1,2,1,3,2,4,4,4,6,6,3,3,4,6,5,3,1,4,3,4,6,2,2,2,1,1,2,2,2,1,2,1,2,2,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28,24,91,115,65,167,NA,NA,490,NA,2024-11-12 23:21:57,0,0,6,6,0,0,0.81
"33",141,NA,NA,"NARQ","interview",2024-11-13 00:08:35,2,4,5,5,3,2,1,4,4,3,2,2,2,2,1,4,1,4,2,4,2,1,4,1,3,5,22,1,2,1,2,2,3,3,2,4,2,2,3,4,6,4,2,1,1,1,1,1,1,2,1,2,2,1,2,2,1,2,2,1,2,1,2,1,3,4,2,2,4,4,3,2,1,2,3,29,207,179,120,230,142,37,947,NA,2024-11-13 00:24:23,1,0,8,8,0,0,0.84
"34",142,NA,NA,"NARQ","interview",2024-11-13 00:32:48,3,5,2,3,4,3,2,3,4,2,3,-9,5,3,4,3,2,1,1,3,1,3,4,1,1,4,23,1,2,1,5,3,4,1,6,2,5,4,1,1,3,1,1,1,2,1,1,5,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,1,3,2,3,4,2,2,3,2,2,3,13,22,87,124,64,142,65,73,590,NA,2024-11-13 00:42:38,1,0,8,8,1,1,0.84
"35",143,NA,NA,"NARQ","interview",2024-11-13 06:13:13,4,5,3,4,5,4,3,4,5,1,5,1,4,5,5,1,1,1,1,1,1,1,1,1,2,2,21,1,1,1,6,1,4,1,4,1,3,2,1,1,2,1,1,1,2,1,1,6,2,1,2,2,2,2,1,2,1,1,2,1,2,1,2,1,4,1,4,4,1,1,4,3,1,4,84,24,557,319,153,650,278,19,1618,NA,2024-11-13 06:47:57,1,0,8,8,0,0,0.42
"36",149,NA,NA,"NARQ","interview",2024-11-13 09:04:28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,12,10232,NA,NA,NA,NA,NA,108,NA,2024-11-13 11:55:17,0,0,3,3,100,100,1.39
"37",151,NA,NA,"NARQ","interview",2024-11-13 09:52:31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15,11,NA,NA,NA,NA,NA,NA,26,NA,2024-11-13 09:52:57,0,0,2,2,100,100,1.35
"38",157,NA,NA,"NARQ","interview",2024-11-13 09:54:23,2,4,2,5,5,3,-9,4,5,2,2,4,5,3,4,5,5,3,1,1,1,1,2,1,2,4,30,2,2,3,4,-9,2,1,2,1,5,4,1,1,2,1,2,1,-9,4,1,5,1,2,1,2,2,2,1,2,1,2,1,1,1,2,2,1,3,2,2,4,2,1,3,3,2,2,476,31,166,167,117,1121,103,77,792,NA,2024-11-13 10:32:01,1,0,8,8,5,5,0.42
"39",159,NA,NA,"NARQ","interview",2024-11-13 09:55:20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9,-9,-9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,9,NA,NA,NA,NA,NA,NA,15,NA,2024-11-13 09:55:35,0,0,2,2,100,100,2.17
"40",163,NA,NA,"NARQ","interview",2024-11-13 10:07:31,-9,5,1,3,5,1,1,1,1,1,5,5,5,5,5,5,5,1,1,1,1,1,1,1,1,5,34,1,1,3,6,1,1,1,6,1,1,1,1,1,1,1,1,1,6,1,1,6,1,1,1,2,2,2,1,2,2,2,2,1,2,1,2,1,4,1,4,4,1,1,4,4,1,4,6,21,57,62,39,112,43,13,353,NA,2024-11-13 10:13:24,1,0,8,8,1,1,1.47
"41",164,NA,NA,"NARQ","interview",2024-11-13 10:11:30,5,5,1,5,5,3,1,3,1,5,3,3,5,5,3,1,1,3,1,3,1,3,3,1,1,5,45,2,2,3,3,3,3,1,6,1,6,1,1,1,2,1,1,1,1,1,1,6,1,1,1,2,1,2,1,1,1,2,2,1,1,1,2,1,2,1,3,3,3,1,3,1,1,3,89,29,113,120,55,178,135,35,677,NA,2024-11-13 10:24:04,1,0,8,8,1,1,0.66
"42",167,NA,NA,"NARQ","interview",2024-11-13 10:14:16,4,5,2,3,4,3,-9,2,1,3,3,2,5,3,4,3,3,2,1,3,2,3,3,1,1,4,21,1,2,1,4,2,3,2,6,2,4,3,2,2,5,2,1,1,3,3,2,4,1,1,1,2,2,2,1,2,1,1,1,1,2,1,2,1,4,2,4,4,1,1,4,3,1,3,7,13,129,128,60,135,85,22,579,NA,2024-11-13 10:23:55,1,0,8,8,1,1,1.04
"43",168,NA,NA,"NARQ","interview",2024-11-13 10:16:40,4,4,1,4,3,1,1,2,1,4,5,4,5,5,4,2,2,1,2,1,1,4,1,2,1,4,24,1,2,3,4,4,5,1,6,1,2,3,1,1,3,1,3,1,3,1,1,3,1,1,2,2,1,2,1,2,2,2,2,1,1,1,2,2,2,3,4,4,3,4,4,4,4,3,5,42377,69,126,63,115,132,20,551,NA,2024-11-13 22:11:47,1,0,8,8,0,0,1
"44",170,NA,NA,"NARQ","interview",2024-11-13 10:25:28,1,5,1,3,2,2,1,1,1,4,5,4,5,5,5,2,1,3,4,3,3,3,3,1,1,1,50,1,2,3,3,3,4,1,6,1,6,4,1,1,3,1,3,1,6,6,1,6,2,2,2,2,-9,2,1,1,2,2,1,2,2,1,2,2,4,-9,4,4,1,1,4,4,1,4,26,31,157,146,127,127,71,14,699,NA,2024-11-13 10:37:07,1,0,8,8,4,4,0.76
"45",172,NA,NA,"NARQ","interview",2024-11-13 10:26:08,2,3,4,2,4,4,2,3,4,1,3,4,4,4,4,3,2,3,2,2,2,3,3,1,1,4,54,1,1,3,4,3,2,2,4,1,5,3,2,1,2,1,2,1,1,1,1,4,1,1,1,2,2,2,1,2,1,2,1,1,2,1,2,1,3,2,3,3,1,1,3,2,2,3,6,24,95,114,92,167,83,94,675,NA,2024-11-13 10:37:23,1,0,8,8,0,0,0.88
"46",173,NA,NA,"NARQ","interview",2024-11-13 10:31:25,5,3,1,4,3,5,4,1,3,4,5,2,5,5,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55,1,1,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,37,97,NA,NA,NA,NA,NA,152,NA,2024-11-13 10:33:57,0,0,3,3,0,0,0.72
"47",174,NA,NA,"NARQ","interview",2024-11-13 10:34:28,4,3,2,5,5,3,3,2,4,2,3,2,4,3,4,2,3,2,2,1,2,2,2,1,1,4,24,1,2,3,2,1,1,2,3,2,3,2,1,1,3,1,1,1,1,1,1,5,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,3,2,2,2,2,3,3,3,2,8,15,78,139,58,116,50,64,528,NA,2024-11-13 10:43:16,1,0,8,8,0,0,1.04
"48",175,NA,NA,"NARQ","interview",2024-11-13 10:37:00,2,4,2,3,4,2,1,4,4,2,4,2,4,4,4,4,4,-9,-9,3,3,3,3,2,2,2,50,1,2,3,-9,2,5,2,6,4,5,4,2,4,6,5,4,1,5,3,3,5,1,2,1,2,1,1,1,2,1,1,1,1,2,1,2,1,3,2,3,3,3,2,3,3,2,3,61,56,139,693,52,501,94,22,1034,NA,2024-11-13 11:03:58,1,0,8,8,5,5,0.53
"49",177,NA,NA,"NARQ","interview",2024-11-13 10:48:06,3,4,2,4,4,5,3,1,3,1,4,2,5,5,4,1,3,5,3,1,1,5,3,2,3,5,55,1,2,3,2,1,1,1,3,1,1,3,1,1,4,1,1,1,3,1,1,3,1,1,1,1,1,2,1,1,1,2,2,1,2,1,2,1,2,1,3,3,1,1,3,4,3,1,11,41,111,111,48,100,68,27,517,NA,2024-11-13 10:56:43,1,0,8,8,0,0,0.92
"50",178,NA,NA,"NARQ","interview",2024-11-13 11:02:09,5,5,3,3,3,1,1,1,2,3,-9,3,4,3,3,2,3,1,1,1,1,2,1,1,1,5,40,1,2,3,3,1,1,1,3,1,2,2,1,1,3,1,1,1,1,2,1,4,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,3,4,3,3,3,3,3,3,3,3,11,65,269,165,133,228,117,69,1057,NA,2024-11-13 11:19:46,1,0,8,8,1,1,0.52
"51",179,NA,NA,"NARQ","interview",2024-11-13 11:05:38,3,4,2,4,3,1,1,3,3,3,5,5,5,5,4,1,1,1,1,1,1,1,1,1,1,5,55,1,2,1,3,3,1,1,4,1,2,2,1,1,2,1,1,1,1,1,1,4,1,1,1,2,2,2,1,2,1,2,2,1,2,1,2,1,2,2,2,4,3,2,3,3,3,3,10,51,174,139,103,135,93,21,726,NA,2024-11-13 11:17:44,1,0,8,8,1,1,0.74
"52",180,NA,NA,"NARQ","interview",2024-11-13 11:17:26,3,4,1,4,4,3,3,2,3,1,4,1,3,3,4,3,4,2,1,1,3,4,4,2,2,5,23,1,2,3,5,1,3,1,6,1,5,5,1,1,5,1,1,1,5,4,1,4,1,2,1,2,2,2,1,2,1,2,1,1,2,1,2,1,3,3,3,3,2,3,3,4,4,3,4,14,89,99,52,114,51,17,440,NA,2024-11-13 11:24:46,1,0,8,8,1,1,1.39
